latitude,longitude,tunnel,id
59.71401620073406,10.455338428849533,Elgskauåstunnelen,81509268
59.66486175781154,10.536831161869697,Stampeleinåstunnelen,81509457
59.66495938022688,10.551280766781941,Merraskottunnelen,81509484
59.699449830936295,10.735431088892875,Smiehagen tunnel,83645662
59.6690212866098,10.622239856031312,Oslofjordtunnelen,83646549
59.71084645241907,10.694050872136595,Frogntunnelen,83648150
59.70820980936326,10.733376824249984,Vassumtunnelen,83649205
59.9079702932743,10.628530486701658,Teleplanlokket,83652325
59.889363669317774,10.521324552849368,Vesttunnelen,83656816
59.910745980110555,10.636523777841909,Strandveitunnelen,83657246
59.91638061766401,10.59129169580919,Ringstadbekktunnelen,83657826
59.89231671833098,10.528373944924855,Sandviksåstunnelen,83659882
59.916655754601464,10.585636169353847,Bekkestutunnelen,83660148
59.912443610696435,10.635126834198765,Lysakerlokket,83667795
59.76075400861347,10.784195057778202,Ringnestunnelen,83668118
59.8121330888388,10.803273247774433,Rikåstunnelen,83668386
59.89629422578223,10.505609280237234,Hamangtunnelen,83668648
59.89565102329052,10.515027801440828,Evjetunnelen,83669239
59.78916612083913,10.839588536458901,Pinåstunnelen,83669781
59.910339619653364,10.709467412984424,Framneslokket,86521836
59.8950298211053,10.805201037680325,Ryenlokket,86521842
59.94541541366813,10.779261676803607,Storolokket,86527115
59.91613813500561,10.744168327238876,Hammersborgtunnelen,86539946
59.914669991936954,10.752176547757017,Vaterlandtunnelen,86540619
59.840585369451304,10.788133269087826,Ljabrudiagonalen,86549206
59.91817200095695,10.474636118428533,Brennetunnelen,225760268
59.92950644245072,10.45068360438741,Skuitunnelen,225760269
59.75943764221369,10.811626739554043,Nøstvettunnelen,228222589
59.920126843043896,10.679777287709127,Sjølystlokket,231088750
59.90512176095138,10.755358259610324,Operatunnelen,240636706
59.911418503742595,10.634360347468682,Lysaker atrium,245833417
59.89503616686623,10.52422379877351,Løkkeåstunnelen,371051700
59.93404918012892,10.79744841173554,Lørentunnelen,392878687
59.929290811554075,10.803649709479648,Økerntunnelen,392894331
59.899380094403895,10.759604512490396,Grønlitunnelen,487377823
59.80981096224302,10.794935679414658,Ingiertunnelen,572673871
59.93779059010995,10.683491718229977,Smestadtunnelen,683535773
59.906853503382344,10.821054412321551,Brynstunnelen,775487076
59.91984212533306,10.633043865703069,Granfosstunnelen,839121631
59.95295542978846,10.750387593826018,Tåsentunnelen,845291001
59.89020875802352,10.507630539527135,Bjørnegårdtunnelen,909695942
59.907019869321616,10.793361107609561,Vålerengtunnelen,1006205795
59.72523655746187,10.759401511279757,Nordbytunnelen,1007847802
